row_index,link_text,url
1,VariableChargeDensity,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring11.jpg
2,RodandBead,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall10.jpg
3,Potential,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring10.jpg
4,RodandBead,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring09.jpg
5,ChargeDensity,http://nebula2.deanza.edu/~newton/4B/4BE1001.jpg
6,Finding V,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring12.jpg
7,Find V,http://nebula2.deanza.edu/~newton/4B/4BE1022.jpg
8,TwoSpheres,http://nebula2.deanza.edu/~newton/4B/4BE1016.jpg
9,SurfaceChargeDensity,http://nebula2.deanza.edu/~newton/4B/4BE1032.jpg
10,Find Something,http://nebula2.deanza.edu/~newton/4B/4BE1P4Winter16.jpg
11,Cylindrical Capacitor,http://nebula2.deanza.edu/~newton/4B/CapacitorDielectric
12,GL01,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall10.jpg
13,GL02,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring14.jpg
14,GL03,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring13.jpg
15,GL04,http://nebula2.deanza.edu/~newton/4B/4BE1P3Winter12.jpg
16,GL05,http://nebula2.deanza.edu/~newton/4B/4BE1002.jpg
17,GL06,http://nebula2.deanza.edu/~newton/4B/4BE1007.jpg
18,GL07,http://nebula2.deanza.edu/~newton/4B/4BE2P1F17Morn
19,GL08,http://nebula2.deanza.edu/~newton/4B/4BE2P2F17Morn
20,GL09,http://nebula2.deanza.edu/~newton/4B/4BE1P4Winter17.jpg
21,POS01,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring11.jpg
22,POS02,http://nebula2.deanza.edu/~newton/4B/4BE1P3Fall2015.jpg
23,POS03,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring14.jpg
24,POS04,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall14.jpg
25,POS05,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring13.jpg
26,POS06,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring12.jpg
27,POS07,http://nebula2.deanza.edu/~newton/4B/4BE1P2fall12.jpg
28,POS08,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall10.jpg
29,POS09,http://nebula2.deanza.edu/~newton/4B/4BE1P4Spring12.jpg
30,POS10,http://nebula2.deanza.edu/~newton/4B/4BE1P1Winter12.jpg
31,POS11,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring10.jpg
32,POS12,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall09.jpg
33,POS13,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall09.jpg
34,POS14,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring09.jpg
35,POS15,http://nebula2.deanza.edu/~newton/4B/4BE1P2Fall08.jpg
36,POS16,http://nebula2.deanza.edu/~newton/4B/4BE1027.jpg
37,POS17,http://nebula2.deanza.edu/~newton/4B/4BE1023.jpg
38,POS18,http://nebula2.deanza.edu/~newton/4B/4BE1019.jpg
39,POS19,http://nebula2.deanza.edu/~newton/4B/4BE1009.jpg
40,POS20,http://nebula2.deanza.edu/~newton/4B/4BE1003.jpg
41,POS21,http://nebula2.deanza.edu/~newton/4B/4BE1015.jpg
42,POS22,http://nebula2.deanza.edu/~newton/4B/4BE1012.jpg
43,POS23,http://nebula2.deanza.edu/~newton/4B/4BE1014.jpg
44,POS24,http://nebula2.deanza.edu/~newton/4B/4BE1P1F17Aft
45,POS25,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter17.jpg
46,TORQUE01,http://nebula2.deanza.edu/~newton/4B/4BE1P2Spring11.jpg
47,TORQUE02,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall2015.jpg
48,TORQUE0,http://nebula2.deanza.edu/~newton/4B/4BE1P4fall12.jpg
49,TORQUE04,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall08.jpg
50,TORQUE05,http://nebula2.deanza.edu/~newton/4B/4BE1010.jpg
51,TORQUE06,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter16.jpg
52,TORQUE07,http://nebula2.deanza.edu/~newton/4B/4BE1P4F17Aft
53,ENERGYDENSITY01,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall09.jpg
54,ENERGYDENSITY02,http://nebula2.deanza.edu/~newton/4B/4BE1P2Winter12.jpg
55,Cylindrical shell,http://nebula2.deanza.edu/~newton/4B/P4Fall08.jpg
56,ENERGYDENSITY03,http://nebula2.deanza.edu/~newton/4B/4BE1024.jpg
57,ENERGYDENSITY04,http://nebula2.deanza.edu/~newton/4B/4BE1004.jpg
58,ENERGYDENSITY05,http://nebula2.deanza.edu/~newton/4B/4BE1025.jpg
59,ENERGYDENSITY06,http://nebula2.deanza.edu/~newton/4B/4BE1028.jpg
60,ENERGYDENSITY07,http://nebula2.deanza.edu/~newton/4B/4BE1029.jpg
61,WORKENERGY01,http://nebula2.deanza.edu/~newton/4B/4BE1P3Spring11.jpg
62,WORKENERGY02,http://nebula2.deanza.edu/~newton/4B/4BE1P1Spring10.jpg
63,WORKENERGY03,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall2015.jpg
64,WORKENERGY04,http://nebula2.deanza.edu/~newton/4B/4BE1P4Fall14.jpg
65,WORKENERGY05,http://nebula2.deanza.edu/~newton/4B/4BE1P1Fall14.jpg
